sound	fr	fr_ipa	en	en_ipa	cognate
0.7625	brique	bʁik	brick	bɹˈɪk	0
0.7625	crabe	kʁab	crab	kɹˈæb	1
0.7625	crème	kʁɛm	cream	kɹˈiːm	1
0.7625	risque	ʁisk	risk	ɹˈɪsk	0
0.7625	substance	sypstɑ̃s	substance	sˈʌbstəns	1
0.7611	acrobatique	akʁɔbatik	acrobatic	ˌækɹəbˈætɪk	1
0.7611	adrénaline	adʁenalin	adrenaline	ɐdɹˈɛnəlˌɪn	1
0.76	attaquant	atakɑ̃	attacker	ɐtˈækɐ	0
0.76	dyspepsie	dispɛpsi	dyspepsia	dɪspˈɛpsi‍ə	1
0.76	spectacle	spɛktakl	spectacle	spˈɛktəkə‍l	1
0.7562	respecter	ʁɛspɛkte	respect	ɹɪspˈɛkt	1
0.7556	amphétamine	ɑ̃fetamin	amphetamine	æmfˈɛtɐmˌiːn	1
0.7556	balistique	balistik	ballistics	bɐlˈɪstɪks	0
0.7556	multitude	myltityd	multitude	mˈʌltɪtjˌuːd	1
0.7556	mélancolie	melɑ̃kɔli	melancholy	mˈɛlənkˌɒli	1
0.7545	aristocratie	aʁistɔkʁasi	aristocracy	ˌæɹɪstˈɒkɹəsi	0
0.75	acrobate	akʁɔbat	acrobat	ˈækɹəbˌæt	1
0.75	apathie	apati	apathy	ˈæpəθi	0
0.75	athlète	atlɛt	athlete	ˈæθliːt	1
0.75	corde	kɔʁd	cord	kˈɔːd	1
0.75	danse	dɑ̃s	dance	dˈɑːns	1
0.75	deux	dø	two	tˈuː	0
0.75	explorer	ɛksplɔʁe	explore	ɛksplˈɔː	1
0.75	force	fɔʁs	force	fˈɔːs	1
0.75	forme	fɔʁm	form	fˈɔːm	1
0.75	lettre	lɛtʁ	letter	lˈɛtɐ	1
0.75	litre	litʁ	litre	lˈiːtɐ	1
0.75	mecque	mɛk	mecca	mˈɛkɐ	0
0.75	méthode	metɔd	method	mˈɛθəd	1
0.75	paprika	papʁika	paprika	pˈæpɹɪkɐ	1
0.75	parachute	paʁaʃyt	parachute	pˈæɹəʃˌuːt	1
0.75	pyramide	piʁamid	pyramid	pˈɪɹɐmˌɪd	1
0.75	sport	spɔʁ	sport	spˈɔːt	1
0.7455	absolutisme	apsɔlytism	absolutism	ˈæbsəlˌuːtɪzəm	1
0.7455	acceptable	aksɛptabl	acceptable	ɐksˈɛptəbə‍l	1
0.745	solidarité	sɔlidaʁite	solidarity	sˌɒlɪdˈæɹɪti	1
0.7444	abstinence	apstinɑ̃s	abstinence	ˈæbstɪnəns	1
0.7444	optimisme	ɔptimism	optimism	ˈɒptɪmˌɪzəm	1
0.7444	pessimisme	pesimism	pessimism	pˈɛsɪmˌɪzəm	1
0.7429	affecté	afɛkte	affected	ɐfˈɛktɪd	1
0.7429	alphabet	alfabɛ	alphabet	ˈælfəbˌɛt	1
0.7429	asphalter	asfalte	asphalt	ˈæsfɒlt	1
0.7429	avalanche	avalɑ̃ʃ	avalanche	ˈævəlˌɑːnʃ	1
0.7429	baptiste	batist	baptist	bˈæptɪst	1
0.7429	capitaine	kapitɛn	captain	kˈæptɪn	1
0.7429	costume	kɔstym	costume	kˈɒstjuːm	1
0.7429	dentiste	dɑ̃tist	dentist	dˈɛntɪst	1
0.7429	dispute	dispyt	dispute	dɪspjˈuːt	1
0.7429	distance	distɑ̃s	distance	dˈɪstəns	1
0.7429	ministre	ministʁ	minister	mˈɪnɪstɐ	1
0.7429	stupide	stypid	stupid	stjˈuːpɪd	1
0.7429	tactique	taktik	tactics	tˈæktɪks	0
0.7429	verdict	vɛʁdikt	verdict	vˈɜːdɪkt	1
0.7417	aristocratique	aʁistɔkʁatik	aristocratic	ˌæɹɪstəkɹˈætɪk	1
0.7417	céleri	sɛlʁi	celery	sˈɛləɹi	1
0.74	abdominal	abdɔminal	abdominal	æbdˈɒmɪnə‍l	1
0.74	administrer	administʁe	administer	ɐdmˈɪnɪstɐ	1
0.74	alternative	altɛʁnativ	alternative	ɔːltˈɜːnətˌɪv	1
0.74	multicolore	myltikɔlɔʁ	multicoloured	mˌʌltɪkˈʌləd	1
