src	tgt	src_lang	tgt_lang	tag	source_file
besch	bêches	en	fr	homophone	en_fr_homophones.csv
bess	baisse	en	fr	homophone	en_fr_homophones.csv
bess	baissent	en	fr	homophone	en_fr_homophones.csv
bess	baisses	en	fr	homophone	en_fr_homophones.csv
besse	baisse	en	fr	homophone	en_fr_homophones.csv
besse	baissent	en	fr	homophone	en_fr_homophones.csv
besse	baisses	en	fr	homophone	en_fr_homophones.csv
bet	bête	en	fr	homophone	en_fr_homophones.csv
bet	bêtes	en	fr	homophone	en_fr_homophones.csv
bet	bette	en	fr	homophone	en_fr_homophones.csv
bet	bettes	en	fr	homophone	en_fr_homophones.csv
bett	bête	en	fr	homophone	en_fr_homophones.csv
bett	bêtes	en	fr	homophone	en_fr_homophones.csv
bett	bette	en	fr	homophone	en_fr_homophones.csv
bett	bettes	en	fr	homophone	en_fr_homophones.csv
beu	boue	en	fr	homophone	en_fr_homophones.csv
beu	boues	en	fr	homophone	en_fr_homophones.csv
beu	bout	en	fr	homophone	en_fr_homophones.csv
beu	bouts	en	fr	homophone	en_fr_homophones.csv
boo	boue	en	fr	homophone	en_fr_homophones.csv
boo	boues	en	fr	homophone	en_fr_homophones.csv
boo	bout	en	fr	homophone	en_fr_homophones.csv
boo	bouts	en	fr	homophone	en_fr_homophones.csv
bichon	bichonne	en	fr	homophone	en_fr_homophones.csv
bichon	bichonnent	en	fr	homophone	en_fr_homophones.csv
bichon	bichonnes	en	fr	homophone	en_fr_homophones.csv
boddie	bandit	en	fr	homophone	en_fr_homophones.csv
boddie	bandits	en	fr	homophone	en_fr_homophones.csv
boddy	bandit	en	fr	homophone	en_fr_homophones.csv
boddy	bandits	en	fr	homophone	en_fr_homophones.csv
body	bandit	en	fr	homophone	en_fr_homophones.csv
body	bandits	en	fr	homophone	en_fr_homophones.csv
boff	bof	en	fr	homophone	en_fr_homophones.csv
bohnomie	bonhomie	en	fr	homophone	en_fr_homophones.csv
bohnomie	bonhomies	en	fr	homophone	en_fr_homophones.csv
bong	bang	en	fr	homophone	en_fr_homophones.csv
bong	bangs	en	fr	homophone	en_fr_homophones.csv
boock	book	en	fr	homophone	en_fr_homophones.csv
boock	bouc	en	fr	homophone	en_fr_homophones.csv
boock	boucs	en	fr	homophone	en_fr_homophones.csv
booed	boude	en	fr	homophone	en_fr_homophones.csv
booed	boudent	en	fr	homophone	en_fr_homophones.csv
booed	boudes	en	fr	homophone	en_fr_homophones.csv
boom	boom	en	fr	homophone	en_fr_homophones.csv
boom	booms	en	fr	homophone	en_fr_homophones.csv
boom	boum	en	fr	homophone	en_fr_homophones.csv
boom	boume	en	fr	homophone	en_fr_homophones.csv
boom	boument	en	fr	homophone	en_fr_homophones.csv
boom	boumes	en	fr	homophone	en_fr_homophones.csv
boos	bouse	en	fr	homophone	en_fr_homophones.csv
boos	bouses	en	fr	homophone	en_fr_homophones.csv
booz	bouse	en	fr	homophone	en_fr_homophones.csv
booz	bouses	en	fr	homophone	en_fr_homophones.csv
booze	bouse	en	fr	homophone	en_fr_homophones.csv
booze	bouses	en	fr	homophone	en_fr_homophones.csv
buus	bouse	en	fr	homophone	en_fr_homophones.csv
buus	bouses	en	fr	homophone	en_fr_homophones.csv
bootie	boutis	en	fr	homophone	en_fr_homophones.csv
booty	boutis	en	fr	homophone	en_fr_homophones.csv
boots	boots	en	fr	homophone	en_fr_homophones.csv
bootz	boots	en	fr	homophone	en_fr_homophones.csv
bosch	boche	en	fr	homophone	en_fr_homophones.csv
bosch	boches	en	fr	homophone	en_fr_homophones.csv
boss'	boss	en	fr	homophone	en_fr_homophones.csv
boss'	bosse	en	fr	homophone	en_fr_homophones.csv
boss'	bossent	en	fr	homophone	en_fr_homophones.csv
boss'	bosses	en	fr	homophone	en_fr_homophones.csv
bot	bote	en	fr	homophone	en_fr_homophones.csv
bot	botes	en	fr	homophone	en_fr_homophones.csv
bot	botte	en	fr	homophone	en_fr_homophones.csv
bot	bottent	en	fr	homophone	en_fr_homophones.csv
bot	bottes	en	fr	homophone	en_fr_homophones.csv
bougie	bougie	en	fr	homophone	en_fr_homophones.csv
bougie	bougies	en	fr	homophone	en_fr_homophones.csv
boutique	boutique	en	fr	homophone	en_fr_homophones.csv
boutique	boutiques	en	fr	homophone	en_fr_homophones.csv
c	ci	en	fr	homophone	en_fr_homophones.csv
c	scie	en	fr	homophone	en_fr_homophones.csv
c	scient	en	fr	homophone	en_fr_homophones.csv
c	scies	en	fr	homophone	en_fr_homophones.csv
c	si	en	fr	homophone	en_fr_homophones.csv
c	sis	en	fr	homophone	en_fr_homophones.csv
cie	ci	en	fr	homophone	en_fr_homophones.csv
cie	scie	en	fr	homophone	en_fr_homophones.csv
cie	scient	en	fr	homophone	en_fr_homophones.csv
cie	scies	en	fr	homophone	en_fr_homophones.csv
cie	si	en	fr	homophone	en_fr_homophones.csv
cie	sis	en	fr	homophone	en_fr_homophones.csv
sea	ci	en	fr	homophone	en_fr_homophones.csv
sea	scie	en	fr	homophone	en_fr_homophones.csv
sea	scient	en	fr	homophone	en_fr_homophones.csv
sea	scies	en	fr	homophone	en_fr_homophones.csv
sea	si	en	fr	homophone	en_fr_homophones.csv
sea	sis	en	fr	homophone	en_fr_homophones.csv
see	ci	en	fr	homophone	en_fr_homophones.csv
see	scie	en	fr	homophone	en_fr_homophones.csv
see	scient	en	fr	homophone	en_fr_homophones.csv
see	scies	en	fr	homophone	en_fr_homophones.csv
see	si	en	fr	homophone	en_fr_homophones.csv
see	sis	en	fr	homophone	en_fr_homophones.csv
si	ci	en	fr	homophone	en_fr_homophones.csv
si	scie	en	fr	homophone	en_fr_homophones.csv
si	scient	en	fr	homophone	en_fr_homophones.csv
si	scies	en	fr	homophone	en_fr_homophones.csv
si	si	en	fr	homophone	en_fr_homophones.csv
si	sis	en	fr	homophone	en_fr_homophones.csv
sie	ci	en	fr	homophone	en_fr_homophones.csv
sie	scie	en	fr	homophone	en_fr_homophones.csv
sie	scient	en	fr	homophone	en_fr_homophones.csv
sie	scies	en	fr	homophone	en_fr_homophones.csv
sie	si	en	fr	homophone	en_fr_homophones.csv
sie	sis	en	fr	homophone	en_fr_homophones.csv
sieh	ci	en	fr	homophone	en_fr_homophones.csv
sieh	scie	en	fr	homophone	en_fr_homophones.csv
sieh	scient	en	fr	homophone	en_fr_homophones.csv
sieh	scies	en	fr	homophone	en_fr_homophones.csv
sieh	si	en	fr	homophone	en_fr_homophones.csv
sieh	sis	en	fr	homophone	en_fr_homophones.csv
tse	ci	en	fr	homophone	en_fr_homophones.csv
tse	scie	en	fr	homophone	en_fr_homophones.csv
tse	scient	en	fr	homophone	en_fr_homophones.csv
tse	scies	en	fr	homophone	en_fr_homophones.csv
tse	si	en	fr	homophone	en_fr_homophones.csv
tse	sis	en	fr	homophone	en_fr_homophones.csv
c.'s	sise	en	fr	homophone	en_fr_homophones.csv
c.'s	sises	en	fr	homophone	en_fr_homophones.csv
cees	sise	en	fr	homophone	en_fr_homophones.csv
cees	sises	en	fr	homophone	en_fr_homophones.csv
saez	sise	en	fr	homophone	en_fr_homophones.csv
saez	sises	en	fr	homophone	en_fr_homophones.csv
sea's	sise	en	fr	homophone	en_fr_homophones.csv
sea's	sises	en	fr	homophone	en_fr_homophones.csv
